email,password
astark@company.com,jJZjedNBu*ViqNiK
jsnow@example.com,jQrJnjUlgnOHmg@J
sstark@test.com,uIR@F^qMuRj#%Gf*
dtargaryen@tech-journey.co.za,kv%qk@CmJTdArhas
jlannister@example.com,Y!w@sAR*e*seiHp$
tgreyjoy@example.com,FJHZSt$jKMnntyAG
jbaratheon@test.com,q&T$s#qb@jSUjdaZ
tlannister@company.com,DvOMCagby#kLJl^@
jflook@example.com,cZlc^nPFQ!isLGpH
tmcdermott@test.com,O#ozOh^qSGvkB$aj
hpaisami@tech-journey.co.za,lNH!ZJhyiIQBEbKa
jpetaia@company.com,%uZeVG%dHDQTtV%i
joconnor@company.com,UYEQCpdODgF&*Uc#
jtoomagaallen@example.com,TsWdE!JKgKkLL#Rs
jdoejr@company.com,qwp#DCnWE!DFwA#j
